Account Transactions,,,,,,,,,
AustGrade Mascot Swimming Pty Ltd,,,,,,,,,
For the period 1 July 2025 to 30 June 2026,,,,,,,,,
,,,,,,,,,
"Account Type contains Asset, Liability, Equity",,,,,,,,,
,,,,,,,,,
Date,Source,Description,Reference,Debit,Credit,Running Balance,Gross,GST,Account
28 Nov 2025,Spend Money,G18 discount market,,0.00,25.38,"48,185.28",(25.38),0.00,NAB- Austgrade 
28 Nov 2025,Receive Money,Ezidebit,,81.16,0.00,"48,266.44",81.16,0.00,NAB- Austgrade 
28 Nov 2025,Receive Money,Donna Lohmeyer,,215.00,0.00,"48,481.44",215.00,0.00,NAB- Austgrade 
28 Nov 2025,Spend Money,G18 discount market,,0.00,13.65,"48,467.79",(13.65),0.00,NAB- Austgrade 
28 Nov 2025,Spend Money,Merchant Fee,,0.00,49.12,"48,418.67",(49.12),0.00,NAB- Austgrade 
01 Dec 2025,Spend Money,TAXIDEAS,,0.00,363.00,"48,055.67",(363.00),0.00,NAB- Austgrade 
01 Dec 2025,Spend Money,Swimbiz,,0.00,401.27,"47,654.40",(401.27),0.00,NAB- Austgrade 
01 Dec 2025,Receive Money,Ezidebit,,74.72,0.00,"47,729.12",74.72,0.00,NAB- Austgrade 
01 Dec 2025,Receive Money,Flexipay,,35.00,0.00,"47,764.12",35.00,0.00,NAB- Austgrade 
01 Dec 2025,Spend Money,NAB,,0.00,28.24,"47,735.88",(28.24),0.00,NAB- Austgrade 
01 Dec 2025,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"47,727.88",(8.00),0.00,NAB- Austgrade 
01 Dec 2025,Spend Money,Icare Workers Insurance,,0.00,516.32,"47,211.56",(516.32),0.00,NAB- Austgrade 
01 Dec 2025,Receive Money,Flexipay,,35.00,0.00,"47,246.56",35.00,0.00,NAB- Austgrade 
01 Dec 2025,Receive Money,Flexipay,,20.00,0.00,"47,266.56",20.00,0.00,NAB- Austgrade 
01 Dec 2025,Spend Money,A J Duffy,,0.00,"37,998.71","9,267.85","(37,998.71)",0.00,NAB- Austgrade 
02 Dec 2025,Spend Money,igs,,0.00,20.50,"9,247.35",(20.50),0.00,NAB- Austgrade 
02 Dec 2025,Receive Money,Flexipay,,61.02,0.00,"9,308.37",61.02,0.00,NAB- Austgrade 
02 Dec 2025,Spend Money,IGA,,0.00,43.11,"9,265.26",(43.11),0.00,NAB- Austgrade 
02 Dec 2025,Receive Money,Ezidebit,,"1,720.72",0.00,"10,985.98","1,720.72",0.00,NAB- Austgrade 
03 Dec 2025,Receivable Payment,Payment: Mascot Public School,INV-0050,"6,600.00",0.00,"17,585.98","6,600.00",0.00,NAB- Austgrade 
03 Dec 2025,Payable Payment,Payment: Head Oceania Pty Ltd (ZOGGS AUSTRALIA),,0.00,848.10,"16,737.88",(848.10),0.00,NAB- Austgrade 
03 Dec 2025,Receive Money,Ezidebit,,111.12,0.00,"16,849.00",111.12,0.00,NAB- Austgrade 
03 Dec 2025,Payable Payment,Payment: Budget Petrol,,0.00,104.65,"16,744.35",(104.65),0.00,NAB- Austgrade 
04 Dec 2025,Payable Payment,Payment: TELSTRA,K 233 169 361 Acc,0.00,190.00,"16,554.35",(190.00),0.00,NAB- Austgrade 
04 Dec 2025,Receive Money,Ezidebit,,53.70,0.00,"16,608.05",53.70,0.00,NAB- Austgrade 
05 Dec 2025,Receive Money,Ezidebit,,300.25,0.00,"16,908.30",300.25,0.00,NAB- Austgrade 
08 Dec 2025,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,13.00,"16,895.30",(13.00),0.00,NAB- Austgrade 
08 Dec 2025,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,7.00,"16,888.30",(7.00),0.00,NAB- Austgrade 
08 Dec 2025,Receive Money,Flexipay,,56.95,0.00,"16,945.25",56.95,0.00,NAB- Austgrade 
08 Dec 2025,Payable Payment,Payment: KMART,,0.00,28.00,"16,917.25",(28.00),0.00,NAB- Austgrade 
08 Dec 2025,Payable Payment,Payment: Freechoice,,0.00,3.23,"16,914.02",(3.23),0.00,NAB- Austgrade 
08 Dec 2025,Receive Money,Flexipay,,30.00,0.00,"16,944.02",30.00,0.00,NAB- Austgrade 
08 Dec 2025,Receive Money,Ezidebit,,169.12,0.00,"17,113.14",169.12,0.00,NAB- Austgrade 
09 Dec 2025,Payable Payment,Payment: Bunning,,0.00,62.95,"17,050.19",(62.95),0.00,NAB- Austgrade 
10 Dec 2025,Spend Money,salary,,0.00,"10,684.25","6,365.94","(10,684.25)",0.00,NAB- Austgrade 
10 Dec 2025,Spend Money,MARIA CAMILLA RAMIR,,0.00,600.00,"5,765.94",(600.00),0.00,NAB- Austgrade 
10 Dec 2025,Spend Money,JUAN SEBASTIAN VALE,,0.00,780.00,"4,985.94",(780.00),0.00,NAB- Austgrade 
10 Dec 2025,Receive Money,Ezidebit,,202.12,0.00,"5,188.06",202.12,0.00,NAB- Austgrade 
10 Dec 2025,Spend Money,SuperChoice,,0.00,"1,460.67","3,727.39","(1,460.67)",0.00,NAB- Austgrade 
10 Dec 2025,Spend Money,MARIO ALEJANDRO,,0.00,952.26,"2,775.13",(952.26),0.00,NAB- Austgrade 
10 Dec 2025,Spend Money,MAVI CATHERINE,,0.00,600.00,"2,175.13",(600.00),0.00,NAB- Austgrade 
11 Dec 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"1,982.16",(192.97),0.00,NAB- Austgrade 
12 Dec 2025,Spend Money,Origin Energy,,0.00,"2,519.61",(537.45),"(2,519.61)",0.00,NAB- Austgrade 
12 Dec 2025,Receive Money,Flexipay,,16.00,0.00,(521.45),16.00,0.00,NAB- Austgrade 
12 Dec 2025,Spend Money,AOZ PRINT AND GRAPHI,,0.00,10.00,(531.45),(10.00),0.00,NAB- Austgrade 
15 Dec 2025,Receive Money,Ezidebit,,218.50,0.00,(312.95),218.50,0.00,NAB- Austgrade 
15 Dec 2025,Payable Payment,Payment: BUNNINGS,,0.00,125.90,(438.85),(125.90),0.00,NAB- Austgrade 
15 Dec 2025,Payable Payment,Payment: Budget Petrol,,0.00,111.65,(550.50),(111.65),0.00,NAB- Austgrade 
15 Dec 2025,Payable Payment,Payment: Christophers cake,,0.00,41.11,(591.61),(41.11),0.00,NAB- Austgrade 
15 Dec 2025,Receive Money,Flexipay,,16.00,0.00,(575.61),16.00,0.00,NAB- Austgrade 
15 Dec 2025,Spend Money,VI consultation,,0.00,2.02,(577.63),(2.02),0.00,NAB- Austgrade 
15 Dec 2025,Payable Payment,Payment: KMART,,0.00,46.00,(623.63),(46.00),0.00,NAB- Austgrade 
15 Dec 2025,Receive Money,Flexipay,,20.00,0.00,(603.63),20.00,0.00,NAB- Austgrade 
15 Dec 2025,Receive Money,Flexipay,,20.00,0.00,(583.63),20.00,0.00,NAB- Austgrade 
16 Dec 2025,Payable Payment,Payment: IGA,,0.00,6.25,(589.88),(6.25),0.00,NAB- Austgrade 
16 Dec 2025,Spend Money,Waster Pty Ltd,,0.00,147.40,(737.28),(147.40),0.00,NAB- Austgrade 
16 Dec 2025,Payable Payment,Payment: Bunning,,0.00,99.11,(836.39),(99.11),0.00,NAB- Austgrade 
16 Dec 2025,Receive Money,Flexipay,,10.00,0.00,(826.39),10.00,0.00,NAB- Austgrade 
16 Dec 2025,Receive Money,SERVICE NSW,,700.00,0.00,(126.39),700.00,0.00,NAB- Austgrade 
16 Dec 2025,Receive Money,Ezidebit,,77.24,0.00,(49.15),77.24,0.00,NAB- Austgrade 
17 Dec 2025,Receive Money,Ezidebit,,"1,493.49",0.00,"1,444.34","1,493.49",0.00,NAB- Austgrade 
17 Dec 2025,Receive Money,Flexipay,,20.00,0.00,"1,464.34",20.00,0.00,NAB- Austgrade 
18 Dec 2025,Receive Money,Ezidebit,,539.19,0.00,"2,003.53",539.19,0.00,NAB- Austgrade 
19 Dec 2025,Receive Money,Ezidebit,,81.16,0.00,"2,084.69",81.16,0.00,NAB- Austgrade 
19 Dec 2025,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,6.00,"2,078.69",(6.00),0.00,NAB- Austgrade 
19 Dec 2025,Receive Money,Flexipay,,16.00,0.00,"2,094.69",16.00,0.00,NAB- Austgrade 
22 Dec 2025,Payable Payment,Payment: KMART,,0.00,29.15,"2,065.54",(29.15),0.00,NAB- Austgrade 
22 Dec 2025,Receive Money,Ezidebit,,233.84,0.00,"2,299.38",233.84,0.00,NAB- Austgrade 
22 Dec 2025,Receive Money,Flexipay,,18.00,0.00,"2,317.38",18.00,0.00,NAB- Austgrade 
23 Dec 2025,Receive Money,Ezidebit,,218.14,0.00,"2,535.52",218.14,0.00,NAB- Austgrade 
23 Dec 2025,Payable Payment,Payment: IGA,,0.00,16.48,"2,519.04",(16.48),0.00,NAB- Austgrade 
24 Dec 2025,Spend Money,JUAN SEBASTIAN VALE,,0.00,810.00,"1,709.04",(810.00),0.00,NAB- Austgrade 
24 Dec 2025,Receive Money,Ezidebit,,"52,282.16",0.00,"53,991.20","52,282.16",0.00,NAB- Austgrade 
24 Dec 2025,Receive Money,aroona,,"15,000.00",0.00,"68,991.20","15,000.00",0.00,NAB- Austgrade 
24 Dec 2025,Spend Money,MARIO ALEJANDRO,,0.00,"1,022.26","67,968.94","(1,022.26)",0.00,NAB- Austgrade 
24 Dec 2025,Spend Money,MAVI CATHERINE,,0.00,600.00,"67,368.94",(600.00),0.00,NAB- Austgrade 
24 Dec 2025,Spend Money,MARIA CAMILLA RAMIR,,0.00,600.00,"66,768.94",(600.00),0.00,NAB- Austgrade 
24 Dec 2025,Receive Money,Flexipay,,25.00,0.00,"66,793.94",25.00,0.00,NAB- Austgrade 
24 Dec 2025,Payable Payment,Payment: Budget Petrol,,0.00,79.75,"66,714.19",(79.75),0.00,NAB- Austgrade 
24 Dec 2025,Spend Money,Wages,,0.00,"10,313.86","56,400.33","(10,313.86)",0.00,NAB- Austgrade 
29 Dec 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"56,207.36",(192.97),0.00,NAB- Austgrade 
29 Dec 2025,Spend Money,NAB,,0.00,21.24,"56,186.12",(21.24),0.00,NAB- Austgrade 
29 Dec 2025,Receive Money,Expoxy master,,"2,133.96",0.00,"58,320.08","2,133.96",0.00,NAB- Austgrade 
29 Dec 2025,Payable Payment,Payment: all purpose coating,,0.00,"2,133.96","56,186.12","(2,133.96)",0.00,NAB- Austgrade 
30 Dec 2025,Receive Money,Service NSW AUSTGRADE,,150.00,0.00,"56,336.12",150.00,0.00,NAB- Austgrade 
31 Dec 2025,Spend Money,Merchant Fee,,0.00,24.69,"56,311.43",(24.69),0.00,NAB- Austgrade 
31 Dec 2025,Spend Money,Icare Workers Insurance,,0.00,516.32,"55,795.11",(516.32),0.00,NAB- Austgrade 
02 Jan 2026,Spend Money,TAXIDEAS,,0.00,363.00,"55,432.11",(363.00),0.00,NAB- Austgrade 
02 Jan 2026,Spend Money,Think smart,,0.00,389.37,"55,042.74",(389.37),0.00,NAB- Austgrade 
02 Jan 2026,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"55,034.74",(8.00),0.00,NAB- Austgrade 
05 Jan 2026,Spend Money,TELSTRA,,0.00,190.00,"54,844.74",(190.00),0.00,NAB- Austgrade 
05 Jan 2026,Receive Money,Ezidebit,,63.75,0.00,"54,908.49",63.75,0.00,NAB- Austgrade 
06 Jan 2026,Receive Money,Ezidebit,,228.31,0.00,"55,136.80",228.31,0.00,NAB- Austgrade 
07 Jan 2026,Spend Money,SuperChoice,,0.00,"1,722.33","53,414.47","(1,722.33)",0.00,NAB- Austgrade 
07 Jan 2026,Spend Money,salary,,0.00,"2,668.95","50,745.52","(2,668.95)",0.00,NAB- Austgrade 
07 Jan 2026,Spend Money,JUAN SEBASTIAN VALE,,0.00,240.00,"50,505.52",(240.00),0.00,NAB- Austgrade 
07 Jan 2026,Receive Money,SERVICE NSW,,50.00,0.00,"50,555.52",50.00,0.00,NAB- Austgrade 
07 Jan 2026,Receive Money,SERVICE NSW,,100.00,0.00,"50,655.52",100.00,0.00,NAB- Austgrade 
07 Jan 2026,Spend Money,MARIO ALEJANDRO,,0.00,149.24,"50,506.28",(149.24),0.00,NAB- Austgrade 
07 Jan 2026,Receive Money,Ezidebit,,"2,492.40",0.00,"52,998.68","2,492.40",0.00,NAB- Austgrade 
08 Jan 2026,Receivable Payment,Payment: Auskor - ABN 39 199 641 813,INV-0053,"2,775.00",0.00,"55,773.68","2,775.00",0.00,NAB- Austgrade 
08 Jan 2026,Bank Transfer,Bank Transfer from NAB- Austgrade  to ANZ - Austgrade,AustgNABtoANZ,0.00,536.91,"55,236.77",(536.91),0.00,NAB- Austgrade 
08 Jan 2026,Payable Payment,Payment: BUNNINGS,,0.00,251.80,"54,984.97",(251.80),0.00,NAB- Austgrade 
08 Jan 2026,Spend Money,Class refund,,0.00,228.00,"54,756.97",(228.00),0.00,NAB- Austgrade 
08 Jan 2026,Payable Payment,Payment: Kevin Joyce,INV-45163,0.00,495.00,"54,261.97",(495.00),0.00,NAB- Austgrade 
08 Jan 2026,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"54,069.00",(192.97),0.00,NAB- Austgrade 
08 Jan 2026,Receive Money,Flexipay,,122.04,0.00,"54,191.04",122.04,0.00,NAB- Austgrade 
08 Jan 2026,Spend Money,Origin Energy,,0.00,"2,130.40","52,060.64","(2,130.40)",0.00,NAB- Austgrade 
08 Jan 2026,Receive Money,Ezidebit,,401.19,0.00,"52,461.83",401.19,0.00,NAB- Austgrade 
09 Jan 2026,Receivable Payment,Payment: Auskor - ABN 39 199 641 813,INV-0051,"4,650.00",0.00,"57,111.83","4,650.00",0.00,NAB- Austgrade 
09 Jan 2026,Receive Money,Ezidebit,,619.56,0.00,"57,731.39",619.56,0.00,NAB- Austgrade 
09 Jan 2026,Spend Money,INTERNET BPAY TAX OFFICE PAY...,,0.00,"8,257.00","49,474.39","(8,257.00)",0.00,NAB- Austgrade 
09 Jan 2026,Receive Money,Flexipay,,32.50,0.00,"49,506.89",32.50,0.00,NAB- Austgrade 
09 Jan 2026,Payable Payment,Payment: IGA,,0.00,1.80,"49,505.09",(1.80),0.00,NAB- Austgrade 
09 Jan 2026,Payable Payment,Payment: A J Duffy,96324,0.00,"17,467.52","32,037.57","(17,467.52)",0.00,NAB- Austgrade 
12 Jan 2026,Payable Payment,Payment: officework,,0.00,116.99,"31,920.58",(116.99),0.00,NAB- Austgrade 
12 Jan 2026,Receive Money,DONNA LOHMEYERA,,105.00,0.00,"32,025.58",105.00,0.00,NAB- Austgrade 
12 Jan 2026,Receive Money,Ezidebit,,147.12,0.00,"32,172.70",147.12,0.00,NAB- Austgrade 
12 Jan 2026,Receive Money,Flexipay,,53.00,0.00,"32,225.70",53.00,0.00,NAB- Austgrade 
12 Jan 2026,Receive Money,Donna Lohmeyer,,90.00,0.00,"32,315.70",90.00,0.00,NAB- Austgrade 
12 Jan 2026,Spend Money,VIP mall,,0.00,489.02,"31,826.68",(489.02),0.00,NAB- Austgrade 
12 Jan 2026,Receive Money,Flexipay,,30.00,0.00,"31,856.68",30.00,0.00,NAB- Austgrade 
12 Jan 2026,Payable Payment,Payment: Budget Petrol,,0.00,111.65,"31,745.03",(111.65),0.00,NAB- Austgrade 
13 Jan 2026,Payable Payment,Payment: Waster Pty Ltd,00137502,0.00,275.00,"31,470.03",(275.00),0.00,NAB- Austgrade 
13 Jan 2026,Receive Money,Ezidebit,,228.63,0.00,"31,698.66",228.63,0.00,NAB- Austgrade 
15 Jan 2026,Receive Money,Flexipay,,142.38,0.00,"31,841.04",142.38,0.00,NAB- Austgrade 
15 Jan 2026,Payable Payment,Payment: IGA,,0.00,12.90,"31,828.14",(12.90),0.00,NAB- Austgrade 
16 Jan 2026,Receive Money,Ezidebit,,869.12,0.00,"32,697.26",869.12,0.00,NAB- Austgrade 
19 Jan 2026,Receive Money,Flexipay,,223.55,0.00,"32,920.81",223.55,0.00,NAB- Austgrade 
19 Jan 2026,Payable Payment,Payment: JB HI FI,,0.00,104.85,"32,815.96",(104.85),0.00,NAB- Austgrade 
19 Jan 2026,Payable Payment,Payment: BUNNINGS,,0.00,47.00,"32,768.96",(47.00),0.00,NAB- Austgrade 
19 Jan 2026,Spend Money,Origin Energy,,0.00,"1,815.52","30,953.44","(1,815.52)",0.00,NAB- Austgrade 
19 Jan 2026,Payable Payment,Payment: freshway cleaning,,0.00,50.10,"30,903.34",(50.10),0.00,NAB- Austgrade 
19 Jan 2026,Receive Money,Flexipay,,30.00,0.00,"30,933.34",30.00,0.00,NAB- Austgrade 
19 Jan 2026,Payable Payment,Payment: IGA,,0.00,13.30,"30,920.04",(13.30),0.00,NAB- Austgrade 
21 Jan 2026,Receive Money,Flexipay,,18.00,0.00,"30,938.04",18.00,0.00,NAB- Austgrade 
21 Jan 2026,Spend Money,G18 discount market,,0.00,46.00,"30,892.04",(46.00),0.00,NAB- Austgrade 
21 Jan 2026,Spend Money,salary,,0.00,"10,666.96","20,225.08","(10,666.96)",0.00,NAB- Austgrade 
21 Jan 2026,Payable Payment,Payment: G18 discount market,,0.00,6.00,"20,219.08",(6.00),0.00,NAB- Austgrade 
21 Jan 2026,Spend Money,Austgrade Leasing,,0.00,"2,209.83","18,009.25","(2,209.83)",0.00,NAB- Austgrade 
21 Jan 2026,Spend Money,SuperChoice,,0.00,"1,415.64","16,593.61","(1,415.64)",0.00,NAB- Austgrade 
21 Jan 2026,Receive Money,SERVICE NSW,,100.00,0.00,"16,693.61",100.00,0.00,NAB- Austgrade 
22 Jan 2026,Spend Money,Mr Pool man,,0.00,65.14,"16,628.47",(65.14),0.00,NAB- Austgrade 
22 Jan 2026,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"16,435.50",(192.97),0.00,NAB- Austgrade 
23 Jan 2026,Payable Payment,Payment: KMART,,0.00,94.00,"16,341.50",(94.00),0.00,NAB- Austgrade 
23 Jan 2026,Payable Payment,Payment: Budget Petrol,,0.00,111.65,"16,229.85",(111.65),0.00,NAB- Austgrade 
23 Jan 2026,Receive Money,Flexipay,,15.00,0.00,"16,244.85",15.00,0.00,NAB- Austgrade 
27 Jan 2026,Payable Payment,Payment: Bunning,W279119756,0.00,208.80,"16,036.05",(208.80),0.00,NAB- Austgrade 
27 Jan 2026,Receive Money,Flexipay,,115.43,0.00,"16,151.48",115.43,0.00,NAB- Austgrade 
28 Jan 2026,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,15.00,"16,136.48",(15.00),0.00,NAB- Austgrade 
28 Jan 2026,Receive Money,Flexipay,,106.19,0.00,"16,242.67",106.19,0.00,NAB- Austgrade 
29 Jan 2026,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,12.00,"16,230.67",(12.00),0.00,NAB- Austgrade 
29 Jan 2026,Payable Payment,Payment: IGA,,0.00,25.75,"16,204.92",(25.75),0.00,NAB- Austgrade 
29 Jan 2026,Spend Money,NAB,,0.00,19.99,"16,184.93",(19.99),0.00,NAB- Austgrade 
30 Jan 2026,Receive Money,Flexipay,,105.43,0.00,"16,290.36",105.43,0.00,NAB- Austgrade 
30 Jan 2026,Spend Money,Merchant Fee,,0.00,32.44,"16,257.92",(32.44),0.00,NAB- Austgrade 
02 Feb 2026,Receive Money,Flexipay,,35.00,0.00,"16,292.92",35.00,0.00,NAB- Austgrade 
02 Feb 2026,Spend Money,Icare Workers Insurance,,0.00,770.67,"15,522.25",(770.67),0.00,NAB- Austgrade 
02 Feb 2026,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"15,514.25",(8.00),0.00,NAB- Austgrade 
02 Feb 2026,Spend Money,136760482 THINKSMART SOFTW AUSTGRADE MASCOT,,0.00,393.42,"15,120.83",(393.42),0.00,NAB- Austgrade 
02 Feb 2026,Receive Money,Flexipay,,305.52,0.00,"15,426.35",305.52,0.00,NAB- Austgrade 
02 Feb 2026,Receive Money,Flexipay,,34.00,0.00,"15,460.35",34.00,0.00,NAB- Austgrade 
02 Feb 2026,Payable Payment,Payment: BUNNINGS,,0.00,25.99,"15,434.36",(25.99),0.00,NAB- Austgrade 
02 Feb 2026,Spend Money,TAXIDEAS,,0.00,363.00,"15,071.36",(363.00),0.00,NAB- Austgrade 
03 Feb 2026,Spend Money,AOZ PRINT AND GRAPHI,,0.00,10.00,"15,061.36",(10.00),0.00,NAB- Austgrade 
03 Feb 2026,Spend Money,G18 discount market,,0.00,15.67,"15,045.69",(15.67),0.00,NAB- Austgrade 
03 Feb 2026,Receive Money,Service NSW AUSTGRADE,,200.00,0.00,"15,245.69",200.00,0.00,NAB- Austgrade 
03 Feb 2026,Receive Money,Flexipay,,18.00,0.00,"15,263.69",18.00,0.00,NAB- Austgrade 
04 Feb 2026,Spend Money,Budget Petrol,,0.00,79.75,"15,183.94",(79.75),0.00,NAB- Austgrade 
04 Feb 2026,Spend Money,Origin Energy,,0.00,819.70,"14,364.24",(819.70),0.00,NAB- Austgrade 
04 Feb 2026,Spend Money,G18 discount market,,0.00,8.59,"14,355.65",(8.59),0.00,NAB- Austgrade 
05 Feb 2026,Spend Money,Mascot post shop,,0.00,4.90,"14,350.75",(4.90),0.00,NAB- Austgrade 
05 Feb 2026,Spend Money,SuperChoice,,0.00,"1,505.75","12,845.00","(1,505.75)",0.00,NAB- Austgrade 
05 Feb 2026,Spend Money,Humm AUS solar panel payment,,0.00,191.87,"12,653.13",(191.87),0.00,NAB- Austgrade 
05 Feb 2026,Spend Money,IGA,,0.00,12.00,"12,641.13",(12.00),0.00,NAB- Austgrade 
05 Feb 2026,Spend Money,salary,,0.00,"11,147.79","1,493.34","(11,147.79)",0.00,NAB- Austgrade 
05 Feb 2026,Receive Money,Andrew Kastoun,,"1,506.37",0.00,"2,999.71","1,506.37",0.00,NAB- Austgrade 
06 Feb 2026,Receive Money,Flexipay,,18.00,0.00,"3,017.71",18.00,0.00,NAB- Austgrade 
09 Feb 2026,Spend Money,class fee refund,,0.00,300.00,"2,717.71",(300.00),0.00,NAB- Austgrade 
09 Feb 2026,Spend Money,KMART,,0.00,18.50,"2,699.21",(18.50),0.00,NAB- Austgrade 
09 Feb 2026,Spend Money,CLEAN LIKE A PRO OXENFORD,,0.00,89.00,"2,610.21",(89.00),0.00,NAB- Austgrade 
09 Feb 2026,Payable Payment,Payment: IGA,,0.00,50.15,"2,560.06",(50.15),0.00,NAB- Austgrade 
09 Feb 2026,Spend Money,refund,,0.00,242.00,"2,318.06",(242.00),0.00,NAB- Austgrade 
10 Feb 2026,Spend Money,AOZ PRINT AND GRAPHI,,0.00,2.50,"2,315.56",(2.50),0.00,NAB- Austgrade 
10 Feb 2026,Receive Money,SERVICE NSW,,400.00,0.00,"2,715.56",400.00,0.00,NAB- Austgrade 
11 Feb 2026,Spend Money,KENSINGTON SPARES AUMASCOT,,0.00,19.90,"2,695.66",(19.90),0.00,NAB- Austgrade 
12 Feb 2026,Receive Money,SERVICE NSW,,100.00,0.00,"2,795.66",100.00,0.00,NAB- Austgrade 
13 Feb 2026,Receive Money,SERVICE NSW,,300.00,0.00,"3,095.66",300.00,0.00,NAB- Austgrade 
13 Feb 2026,Spend Money,AOZ PRINT AND GRAPHI,,0.00,25.00,"3,070.66",(25.00),0.00,NAB- Austgrade 
16 Feb 2026,Spend Money,G18 discount market,,0.00,13.65,"3,057.01",(13.65),0.00,NAB- Austgrade 
17 Feb 2026,Payable Payment,Payment: officework,1020437316,0.00,235.95,"2,821.06",(235.95),0.00,NAB- Austgrade 
18 Feb 2026,Spend Money,Lin Li,,0.00,"3,025.00",(203.94),"(3,025.00)",0.00,NAB- Austgrade 
19 Feb 2026,Spend Money,IGA,,0.00,18.00,(221.94),(18.00),0.00,NAB- Austgrade 
19 Feb 2026,Receive Money,SERVICE NSW,,350.00,0.00,128.06,350.00,0.00,NAB- Austgrade 
25 Feb 2026,Receive Money,SERVICE NSW,,300.00,0.00,428.06,300.00,0.00,NAB- Austgrade 
27 Feb 2026,Receive Money,KMART,,60.00,0.00,488.06,60.00,0.00,NAB- Austgrade 
27 Feb 2026,Spend Money,Merchant Fee,,0.00,23.80,464.26,(23.80),0.00,NAB- Austgrade 
02 Mar 2026,Spend Money,Waster Pty Ltd,,0.00,206.69,257.57,(206.69),0.00,NAB- Austgrade 
02 Mar 2026,Spend Money,TAXIDEAS,,0.00,363.00,(105.43),(363.00),0.00,NAB- Austgrade 
02 Mar 2026,Spend Money,Nab connect,,0.00,19.24,(124.67),(19.24),0.00,NAB- Austgrade 
02 Mar 2026,Spend Money,Icare Workers Insurance,,0.00,770.67,(895.34),(770.67),0.00,NAB- Austgrade 
02 Mar 2026,Receive Money,SERVICE NSW,,150.00,0.00,(745.34),150.00,0.00,NAB- Austgrade 
02 Mar 2026,Receivable Payment,Payment: Auskor - ABN 39 199 641 813,INV-0054,"2,200.00",0.00,"1,454.66","2,200.00",0.00,NAB- Austgrade 
03 Mar 2026,Receive Money,SERVICE NSW,,300.00,0.00,"1,754.66",300.00,0.00,NAB- Austgrade 
12 Mar 2026,Receive Money,SERVICE NSW,,50.00,0.00,"1,804.66",50.00,0.00,NAB- Austgrade 
12 Mar 2026,Receive Money,ATO,,"1,963.00",0.00,"3,767.66","1,963.00",0.00,NAB- Austgrade 
17 Mar 2026,Receive Money,SERVICE NSW,,50.00,0.00,"3,817.66",50.00,0.00,NAB- Austgrade 
19 Mar 2026,Receive Money,SERVICE NSW,,50.00,0.00,"3,867.66",50.00,0.00,NAB- Austgrade 
19 Mar 2026,Spend Money,A J Duffy,,0.00,"3,851.09",16.57,"(3,851.09)",0.00,NAB- Austgrade 
23 Mar 2026,Receive Money,SERVICE NSW,,200.00,0.00,216.57,200.00,0.00,NAB- Austgrade 
24 Mar 2026,Receive Money,SERVICE NSW,,50.00,0.00,266.57,50.00,0.00,NAB- Austgrade 
30 Mar 2026,Receive Money,SERVICE NSW,,350.00,0.00,616.57,350.00,0.00,NAB- Austgrade 
31 Mar 2026,Spend Money,TAXIDEAS,,0.00,275.00,341.57,(275.00),0.00,NAB- Austgrade 
31 Mar 2026,Spend Money,NAB,,0.00,17.99,323.58,(17.99),0.00,NAB- Austgrade 
31 Mar 2026,Spend Money,Icare Workers Insurance,,0.00,770.67,(447.09),(770.67),0.00,NAB- Austgrade 
31 Mar 2026,Spend Money,Audible limited,,0.00,8.99,(456.08),(8.99),0.00,NAB- Austgrade 
01 Apr 2026,Spend Money,TAXIDEAS,,0.00,363.00,(819.08),(363.00),0.00,NAB- Austgrade 
07 Apr 2026,Receive Money,SERVICE NSW,,50.00,0.00,(769.08),50.00,0.00,NAB- Austgrade 
16 Apr 2026,Receive Money,SERVICE NSW,,100.00,0.00,(669.08),100.00,0.00,NAB- Austgrade 
30 Apr 2026,Spend Money,Icare Workers Insurance,,0.00,770.67,"(1,439.75)",(770.67),0.00,NAB- Austgrade 
01 May 2026,Spend Money,TAXIDEAS,,0.00,363.00,"(1,802.75)",(363.00),0.00,NAB- Austgrade 
01 May 2026,Receive Money,Reimburseaccoutant AUSTGRADE TO,,363.00,0.00,"(1,439.75)",363.00,0.00,NAB- Austgrade 
01 May 2026,Spend Money,AustGrade Swimming,,0.00,"2,496.62","(3,936.37)","(2,496.62)",0.00,NAB- Austgrade 
01 May 2026,Spend Money,Audible limited,,0.00,8.99,"(3,945.36)",(8.99),0.00,NAB- Austgrade 
01 May 2026,Receive Money,Lin Li,,"3,025.00",0.00,(920.36),"3,025.00",0.00,NAB- Austgrade 
04 May 2026,Spend Money,AustGrade Swimming,,0.00,"1,350.00","(2,270.36)","(1,350.00)",0.00,NAB- Austgrade 
04 May 2026,Receive Money,Lin Li,,"1,350.00",0.00,(920.36),"1,350.00",0.00,NAB- Austgrade 
